Folder,Spectrogram1,Spectrogram2,Similarity
m8,m8_script1_ipad_confroom1.wav.png,m8_script5_ipad_bedroom1.wav.png,0.5791824999999999
m8,m8_script1_ipad_confroom1.wav.png,m8_script1_iphone_balcony1.wav.png,0.5373425000000001
m8,m8_script1_ipad_confroom1.wav.png,m8_script2_ipad_livingroom1.wav.png,0.55132
m8,m8_script1_ipad_confroom1.wav.png,m8_script4_iphone_livingroom1.wav.png,0.5820175000000001
m8,m8_script1_ipad_confroom1.wav.png,m8_script2_iphone_balcony1.wav.png,0.43022000000000005
m8,m8_script1_ipad_confroom1.wav.png,m8_script3_ipad_bedroom1.wav.png,0.614935
m8,m8_script1_ipad_confroom1.wav.png,m8_script4_ipadflat_confroom1.wav.png,0.6021325
m8,m8_script1_ipad_confroom1.wav.png,m8_script1_ipad_office2.wav.png,0.943395
m8,m8_script1_ipad_confroom1.wav.png,m8_script2_iphone_bedroom1.wav.png,0.6015425
m8,m8_script1_ipad_confroom1.wav.png,m8_script3_ipad_livingroom1.wav.png,0.613265
m8,m8_script1_ipad_confroom1.wav.png,m8_script5_iphone_livingroom1.wav.png,0.5827275000000001
m8,m8_script1_ipad_confroom1.wav.png,m8_script4_ipad_office2.wav.png,0.578325
m8,m8_script1_ipad_confroom1.wav.png,m8_script5_ipad_office1.wav.png,0.50673
m8,m8_script1_ipad_confroom1.wav.png,m8_script3_ipad_balcony1.wav.png,0.37888999999999995
m8,m8_script1_ipad_confroom1.wav.png,m8_script1_ipad_bedroom1.wav.png,0.9316825
m8,m8_script1_ipad_confroom1.wav.png,m8_script2_iphone_livingroom1.wav.png,0.59087
m8,m8_script1_ipad_confroom1.wav.png,m8_script2_ipadflat_office1.wav.png,0.5143025
m8,m8_script1_ipad_confroom1.wav.png,m8_script3_ipadflat_confroom1.wav.png,0.629265
m8,m8_script1_ipad_confroom1.wav.png,m8_script1_ipad_balcony1.wav.png,0.5277700000000001
m8,m8_script4_ipad_confroom2.wav.png,m8_script4_iphone_balcony1.wav.png,0.5300625
m8,m8_script4_ipad_confroom2.wav.png,m8_script2_ipad_confroom1.wav.png,0.5362475
m8,m8_script4_ipad_confroom2.wav.png,m8_script4_ipad_bedroom1.wav.png,0.9276525
m8,m8_script4_ipad_confroom2.wav.png,m8_script2_ipad_office2.wav.png,0.558125
m8,m8_script4_ipad_confroom2.wav.png,m8_script3_ipad_office1.wav.png,0.54486
m8,m8_script4_ipad_confroom2.wav.png,m8_script4_ipad_balcony1.wav.png,0.5390349999999999
m8,m8_script4_ipad_confroom2.wav.png,m8_script5_ipad_confroom1.wav.png,0.53363
m8,m8_script4_ipad_confroom2.wav.png,m8_script4_ipadflat_office1.wav.png,0.7925025
m8,m8_script4_ipad_confroom2.wav.png,m8_script4_iphone_bedroom1.wav.png,0.7518549999999999
m8,m8_script4_ipad_confroom2.wav.png,m8_script1_ipadflat_confroom1.wav.png,0.55198
m8,m8_script4_ipad_confroom2.wav.png,m8_script1_ipad_confroom2.wav.png,0.5514749999999999
m8,m8_script4_ipad_confroom2.wav.png,m8_script2_ipad_balcony1.wav.png,0.3836925
m8,m8_script4_ipad_confroom2.wav.png,m8_script1_iphone_livingroom1.wav.png,0.5595749999999999
m8,m8_script4_ipad_confroom2.wav.png,m8_script4_ipad_confroom1.wav.png,0.9086575
m8,m8_script4_ipad_confroom2.wav.png,m8_script1_ipadflat_office1.wav.png,0.4765925
m8,m8_script4_ipad_confroom2.wav.png,m8_script5_ipadflat_office1.wav.png,0.5154799999999999
m8,m8_script4_ipad_confroom2.wav.png,m8_script2_ipad_bedroom1.wav.png,0.564495
m8,m8_script4_ipad_confroom2.wav.png,m8_script3_ipad_confroom1.wav.png,0.5577475000000001
m8,m8_script4_ipad_confroom2.wav.png,m8_script5_ipad_confroom2.wav.png,0.5506800000000001
m8,m8_script4_ipad_confroom2.wav.png,m8_script4_ipad_livingroom1.wav.png,0.931055
m8,m8_script4_ipad_confroom2.wav.png,m8_script3_iphone_bedroom1.wav.png,0.5505175
m8,m8_script4_ipad_confroom2.wav.png,m8_script2_ipad_confroom2.wav.png,0.5494600000000001
m8,m8_script4_ipad_confroom2.wav.png,m8_script3_iphone_balcony1.wav.png,0.42910250000000005
m8,m8_script4_ipad_confroom2.wav.png,m8_script2_ipad_office1.wav.png,0.5214725
m8,m8_script4_ipad_confroom2.wav.png,m8_script3_ipad_office2.wav.png,0.5729474999999999
m8,m8_script4_ipad_confroom2.wav.png,m8_script3_iphone_livingroom1.wav.png,0.55959
m8,m8_script4_ipad_confroom2.wav.png,m8_script1_ipad_office1.wav.png,0.49650249999999996
